,lon,lat,date,type,x_m,y_m
94584,-81.35976125572985,-4.592643203957012,2020-08-02,satellite,4459.815115454141,6342.5856887586415
94585,-81.31351790972653,-4.573965714907613,2020-08-02,satellite,9588.315115455014,8409.585688691586
94586,-81.31253114098938,-4.574861759930013,2020-08-02,satellite,9697.81511545385,8310.585688693449
94587,-81.31250457213383,-4.575960933653257,2020-08-02,satellite,9700.8151154542,8189.085688697174
94872,-81.34648335871469,-4.596137230585926,2020-08-10,satellite,5932.815115453559,5957.085688769817
94873,-81.32319270563885,-4.647252310430201,2020-08-10,satellite,8518.815115454432,308.08568895608187
94874,-81.3190788998236,-4.611511137422826,2020-08-10,satellite,8973.315115453792,4259.085688825697
95239,-81.33620819340788,-4.572286325227521,2020-08-28,satellite,7071.315115454025,8594.085688684136
95260,-81.32380765393718,-4.631538126002069,2020-09-01,satellite,8449.815115453617,2045.0856888983399
95350,-81.32218653775809,-4.575264575996026,2020-09-04,satellite,8626.815115453675,8265.585688695312
95351,-81.32211889388054,-4.575196756989591,2020-09-04,satellite,8634.315115454665,8273.085688695312
96679,-81.34861328384818,-4.637782024496191,2020-09-14,satellite,5698.815115453559,1353.5856889206916
96683,-81.32728329994994,-4.631617945113528,2020-09-14,satellite,8064.315115454316,2036.0856888983399
96684,-81.32378060022374,-4.631524568522875,2020-09-14,satellite,8452.815115452453,2046.5856888983399
96685,-81.32213420038292,-4.579186297625177,2020-09-14,satellite,8632.815115453966,7832.08568870835
96707,-81.32237760442997,-4.579172618057576,2020-09-17,satellite,8605.815115454316,7833.585688710213
96999,-81.35204145230037,-4.568723417022542,2020-09-22,satellite,5314.81511545385,8987.085688671097
97000,-81.33923493275107,-4.596018589611613,2020-09-22,satellite,6736.815115454199,5970.585688769817
97001,-81.3215121280346,-4.5791322979993465,2020-09-22,satellite,8701.815115453792,7838.08568870835
97002,-81.3168182467291,-4.575782628362447,2020-09-22,satellite,9222.315115453326,8208.585688697174
97003,-81.31511802926931,-4.584115296163523,2020-09-22,satellite,9411.315115455014,7287.5856887269765
97004,-81.31476601268932,-4.583151988680392,2020-09-22,satellite,9450.315115453908,7394.085688723251
97491,-81.35571432373949,-4.612715017430788,2020-10-06,satellite,4909.8151154545485,4124.085688831285
97497,-81.32561223840612,-4.585114761425499,2020-10-06,satellite,8247.31511545484,7176.585688730702
97498,-81.32543609699424,-4.584354928294943,2020-10-06,satellite,8266.815115453152,7260.585688728839
97499,-81.32018988372769,-4.585849986805976,2020-10-06,satellite,8848.815115454316,7095.585688732564
97500,-81.31895333730046,-4.602867178752593,2020-10-06,satellite,8986.8151154542,5214.585688794032
97501,-81.31544236434165,-4.583626636779397,2020-10-06,satellite,9375.315115454257,7341.585688725114
97502,-81.31529360080023,-4.583599562651136,2020-10-06,satellite,9391.815115453792,7344.585688725114
97845,-81.3148478625718,-4.5847803402017595,2020-10-09,satellite,9441.315115454898,7214.085688728839
97846,-81.31480695536726,-4.584006874136515,2020-10-09,satellite,9445.815115455014,7299.5856887269765
98240,-81.34105083060729,-4.632330640756689,2020-10-24,satellite,6537.315115453908,1956.5856889020652
98241,-81.3356139055175,-4.631546191143426,2020-10-24,satellite,7140.315115453966,2043.5856888983399
98749,-81.32375352799981,-4.631470301450677,2020-11-02,satellite,8455.815115453966,2052.58568889834
98943,-81.32662442254286,-4.580636238406179,2020-11-05,satellite,8134.815115454432,7671.585688713938
100009,-81.37233044529721,-4.630795043117196,2020-11-17,satellite,3067.815115453908,2124.585688896477
100010,-81.3562645824511,-4.631386820712468,2020-11-17,satellite,4849.815115453908,2060.08568889834
100012,-81.33753069179646,-4.623973302811565,2020-11-17,satellite,6927.315115453792,2880.5856888704
100013,-81.3359194718684,-4.619916682460071,2020-11-17,satellite,7105.815115453501,3329.085688855499
100014,-81.33251392924068,-4.595953908279982,2020-11-17,satellite,7482.315115452278,5978.085688769817
100015,-81.33239175004455,-4.594936225119191,2020-11-17,satellite,7495.815115453559,6090.585688766092
100016,-81.32380764159404,-4.631510986274313,2020-11-17,satellite,8449.815115454316,2048.08568889834
100017,-81.32108002742686,-4.610763892232842,2020-11-17,satellite,8751.315115454549,4341.585688823834
100018,-81.32106644312891,-4.610628199590573,2020-11-17,satellite,8752.815115454083,4356.585688821971
100019,-81.31972170169784,-4.627591152180453,2020-11-17,satellite,8902.815115452628,2481.5856888834387
101333,-81.33085080226958,-4.596416058018335,2020-11-25,satellite,7666.815115454432,5927.08568877168
101335,-81.32276645269326,-4.631823569236476,2020-11-25,satellite,8565.315115453792,2013.5856889002025
101815,-81.3621687994317,-4.566655756336701,2020-11-28,satellite,4191.3151154531515,9215.085688663647
101816,-81.32095831699607,-4.6107639472391835,2020-11-28,satellite,8764.81511545449,4341.585688823834
102400,-81.3237670887944,-4.631551714442681,2020-12-02,satellite,8454.3151154535,2043.5856888983399
102401,-81.3209853759391,-4.610791074768531,2020-12-02,satellite,8761.815115453734,4338.585688823834
102431,-81.31863164044985,-4.639560271536387,2020-12-03,satellite,9024.315115454316,1158.5856889281422
102455,-81.33562748044824,-4.631654743505939,2020-12-04,satellite,7138.815115452977,2031.5856888983399
102458,-81.33250050048215,-4.596157462573242,2020-12-04,satellite,7483.81511545385,5955.585688769817
107718,-81.33562740368535,-4.631491905334232,2020-12-30,satellite,7138.815115453675,2049.58568889834
107723,-81.3237940993096,-4.631470282875038,2020-12-30,satellite,8451.315115454083,2052.58568889834
