,lon,lat,date,type,x_m,y_m
96753,-81.13610216877973,-5.066462045343055,2020-09-17,satellite,7082.5434808474965,392.9178636595607
96754,-81.13127615967448,-5.024654238562794,2020-09-17,satellite,7616.543480846856,5014.417863508686
96755,-81.12133862505796,-5.069314656670239,2020-09-17,satellite,8719.043480848544,77.91786367073655
96811,-81.16190919783858,-5.067935216081853,2020-09-18,satellite,4222.043480847555,229.41786366514862
96812,-81.16166509136312,-5.065845519613467,2020-09-18,satellite,4249.043480848253,460.41786365769804
96813,-81.14529037784848,-5.064546696357021,2020-09-18,satellite,6064.043480846274,604.4178636521101
96814,-81.13972957690787,-5.069582341570085,2020-09-18,satellite,6680.543480847729,47.91786367073655
97170,-81.1123097924164,-5.0545929638758516,2020-09-26,satellite,9719.543480847904,1705.4178636167198
97185,-81.11070100362898,-5.063793623002954,2020-09-26,satellite,9898.043480848253,688.4178636502475
97366,-81.11014536301,-5.059030688135158,2020-10-02,satellite,9959.54348084773,1214.9178636334836
97512,-81.12332790963582,-5.069219291209614,2020-10-06,satellite,8498.54348084802,88.4178636688739
97689,-81.15293215725231,-4.9888793050392755,2020-10-07,satellite,5215.04348084674,8968.417863380164
97690,-81.12705146920547,-5.010243846450195,2020-10-07,satellite,8084.5434808474965,6607.417863456532
97691,-81.12099348492121,-5.032513195180343,2020-10-07,satellite,8756.543480847962,4145.917863538489
97692,-81.1146205302367,-5.035798262295346,2020-10-07,satellite,9463.04348084674,3782.9178635496646
97922,-81.14227376564251,-5.069798904621935,2020-10-15,satellite,6398.543480848195,23.917863672599196
97923,-81.12127095157815,-5.069260389859186,2020-10-15,satellite,8726.543480848835,83.91786367073655
98042,-81.16644277738197,-5.068531138787864,2020-10-16,satellite,3719.543480846798,163.41786366701126
98045,-81.155236974603,-5.06525001986523,2020-10-16,satellite,4961.543480847904,526.4178636558354
98046,-81.15361408556814,-5.069565622293787,2020-10-16,satellite,5141.543480847613,49.41786367073655
98047,-81.15358702345758,-5.069579198580397,2020-10-16,satellite,5144.543480847846,47.91786367073655
98050,-81.14683294867577,-5.063922134485139,2020-10-16,satellite,5893.043480847264,673.4178636502475
98054,-81.13450473526692,-5.063626276295783,2020-10-16,satellite,7259.543480847904,706.4178636502475
98055,-81.13327347917053,-5.0646307014998575,2020-10-16,satellite,7396.043480847788,595.4178636539727
98056,-81.12143334361916,-5.069260359384598,2020-10-16,satellite,8708.543480847671,83.91786367073655
98297,-81.14327434319786,-5.065985551581716,2020-10-25,satellite,6287.543480845925,445.41786365769804
98298,-81.11886173441589,-5.067062516927568,2020-10-25,satellite,8993.543480847147,326.9178636614233
98966,-81.15710449827876,-5.065371697921709,2020-11-08,satellite,4754.54348084738,512.9178636558354
98967,-81.14535846199544,-5.066432892291924,2020-11-08,satellite,6056.54348084837,395.9178636595607
98968,-81.11463835521555,-5.060251198327006,2020-11-08,satellite,9461.543480846798,1079.917863637209
100349,-81.12143334108488,-5.069246789508672,2020-11-18,satellite,8708.543480847846,85.41786367073655
101177,-81.14267980489188,-5.008028732531162,2020-11-24,satellite,6352.0434808474965,6851.917863449082
101178,-81.13584629138772,-5.007256702611312,2020-11-24,satellite,7109.54348084738,6937.417863447219
101179,-81.12135215519658,-5.06930108425486,2020-11-24,satellite,8717.543480848253,79.41786367073655
102123,-81.15897244690908,-5.067230312037101,2020-11-29,satellite,4547.543480847962,307.41786366328597
102126,-81.12136568280172,-5.069273941963257,2020-11-29,satellite,8716.043480848894,82.41786367073655
102464,-81.12582528332486,-5.037234600888978,2020-12-04,satellite,8221.04348084674,3623.9178635552526
102465,-81.12524439461943,-5.042391269920558,2020-12-04,satellite,8285.543480847322,3053.917863573879
103180,-81.12483946845528,-5.0478193017153785,2020-12-09,satellite,8330.543480848602,2453.9178635925055
103214,-81.11169963723391,-5.04759100671849,2020-12-09,satellite,9787.043480848719,2479.4178635925055
103412,-81.13907940819112,-5.066773519180943,2020-12-10,satellite,6752.54348084674,358.4178636614233
103413,-81.13475548221267,-5.032754751234835,2020-12-10,satellite,7231.0434808461,4118.917863538489
103414,-81.13195065812059,-5.014259565451845,2020-12-10,satellite,7541.543480847846,6163.4178634714335
103415,-81.13001635859197,-5.017842405096525,2020-12-10,satellite,7756.043480847962,5767.417863484472
103416,-81.12737911292035,-5.02514352726909,2020-12-10,satellite,8048.543480848719,4960.417863510549
103417,-81.12617018840814,-5.001179323526892,2020-12-10,satellite,8182.04348084738,7609.417863424867
103463,-81.11105014120878,-5.0478896556963555,2020-12-10,satellite,9859.043480848253,2446.4178635925055
103465,-81.11103662051505,-5.0479575074597385,2020-12-10,satellite,9860.543480847904,2438.9178635925055
103466,-81.11099897687329,-5.065299829029581,2020-12-10,satellite,9865.043480848486,521.9178636558354
103843,-81.15353025784532,-5.000644259529129,2020-12-14,satellite,5149.043480847147,7667.917863423005
103845,-81.14601652690314,-5.043961041371228,2020-12-14,satellite,5983.043480847264,2879.917863579467
103846,-81.13969140227375,-5.017609719618541,2020-12-14,satellite,6683.543480847846,5792.917863484472
103847,-81.12207390291164,-5.021046433334967,2020-12-14,satellite,8636.543480848894,5413.417863495648
103848,-81.1219204841146,-5.0690702894561115,2020-12-14,satellite,8654.543480847788,104.9178636688739
103852,-81.11661250344406,-5.051335431923998,2020-12-14,satellite,9242.543480847613,2065.417863605544
106681,-81.14473412247175,-5.058155413623423,2020-12-21,satellite,6125.54348084837,1310.9178636297584
106682,-81.14390861148827,-5.058006328904725,2020-12-21,satellite,6217.043480848195,1327.4178636297584
